AA2AR,Gpcr,Train
ABL1,Kinase,Train
AKT1,Kinase,Train
CDK2,Kinase,Train
EGFR,Kinase,Train
FAK1,Kinase,Train
FGFR1,Kinase,Train
IGF1R,Kinase,Train
JAK2,Kinase,Train
KIT,Kinase,Train
MAPK2,Kinase,Train
MK01,Kinase,Train
PLK1,Kinase,Train
TGFR1,Kinase,Train
ANDR,Nuclear,Train
ESR2,Nuclear,Train
MCR,Nuclear,Train
PPARD,Nuclear,Train
THB,Nuclear,Train
ACE,Protease,Train
BACE1,Protease,Train
DPP4,Protease,Train
FA7,Protease,Train
HIVPR,Protease,Train
MMP13,Protease,Train
TRYB1,Protease,Train
ADRB1,Gpcr,Test
ADRB2,Gpcr,Test
CXCR4,Gpcr,Test
DRD3,Gpcr,Test
AKT2,Kinase,Test
BRAF,Kinase,Test
CSF1R,Kinase,Test
KPCB,Kinase,Test
LCK,Kinase,Test
MET,Kinase,Test
MK10,Kinase,Test
MK14,Kinase,Test
MP2K1,Kinase,Test
ROCK1,Kinase,Test
SRC,Kinase,Test
VGFR2,Kinase,Test
WEE1,Kinase,Test
ESR1,Nuclear,Test
GCR,Nuclear,Test
PPARA,Nuclear,Test
PPARG,Nuclear,Test
PRGR,Nuclear,Test
RXRA,Nuclear,Test
ADA17,Protease,Test
CASP3,Protease,Test
FA10,Protease,Test
LKHA4,Protease,Test
RENI,Protease,Test
THRB,Protease,Test
TRY1,Protease,Test
UROK,Protease,Test
